Alpha,1.25,0.625,0.3125,0.15625,0.078125,0.0390625
Chain,0.74,0.325,0.175,0.125,0.1,0.13999999999999999
Open Addressing, 4.57, 0.585, 0.375, 0.145, 0.18, 0.11499999999999999
