Alpha,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
Chain,33.0,33.0,0.0,33.0,0.0,33.0,0.0,0.0,33.0,2.0,33.0,0.0,0.0,0.0,0.0,2.0
Open Addressing, 33.0, 33.0, 0.0, 33.0, 0.0, 33.0, 0.0, 0.0, 33.0, 2.0, 33.0, 0.0, 0.0, 0.0, 0.0, 2.0
